idx,dataset,example_id,prompt_id,source,subject,question_number,prompt,question,choice_a,choice_b,choice_c,choice_d,answer,gold_passage,gold_idx
civ0027,MBE-Civil-Procedure-Sample-Test-Questions,6,0,MBE-Civil-Procedure-Sample-Test-Questions.pdf,Civil Procedure,7,,"After being fired, a woman sued her former employer in federal court, alleging that her supervisor had discriminated against her on the basis of her sex. The woman’s complaint included a lengthy description of what the supervisor had said and done over the years, quoting his telephone calls and emails to her and her own emails to the supervisor’s manager asking for help. The employer moved for summary judgment, alleging that the woman was a pathological liar who had filed the action and included fictitious documents in revenge for having been fired. Because the woman’s attorney was at a lengthy out-of-state trial when the summary-judgment motion was filed, he failed to respond to it. The court therefore granted the motion in a one-line order and entered final judgment. The woman has appealed. Is the appellate court likely to uphold the trial court’s ruling?","No, because the complaint’s allegations were detailed and specific.","No, because the employer moved for summary judgment on the basis that the woman was not credible, creating a factual dispute.","Yes, because the woman’s failure to respond to the summary-judgment motion means that there was no sworn affidavit to support her allegations and supporting documents.","Yes, because the woman’s failure to respond to the summary-judgment motion was a default giving sufficient basis to grant the motion.",B,"The standard for summary judgment is whether there is no genuine dispute as to any material fact such that the moving party is entitled to judgment as a matter of law. By challenging the woman’s credibility, the employer disputed all the facts and evidence.",civ0027
civ0028,MBE-Civil-Procedure-Sample-Test-Questions,7,0,MBE-Civil-Procedure-Sample-Test-Questions.pdf,Civil Procedure,8,,"A man brought a federal diversity action against his insurance company, alleging that the company had breached its duty under his insurance policy by refusing to pay for his medical expenses resulting from a mountain-biking accident. At the jury trial, the man presented evidence that he had paid all premiums on the insurance policy and that the policy covered personal-injury-related medical expenses arising from accidents. After he rested his case, the company presented evidence that a provision of the policy excluded payment for injury-related expenses resulting from an insured’s “unduly risky” behavior. The company also presented a witness who testified that the accident had occurred in an area where posted signs warned bikers not to enter. The man did not cross-examine the witness. After resting its case, the company moved for judgment as a matter of law. Should the court grant the motion?","No, because a motion for judgment as a matter of law must first be made at the close of the plaintiff’s case-in-chief.","No, because whether the man’s behavior was unduly risky is a question of fact for the jury to resolve.","Yes, because the company’s uncontradicted evidence of the man’s unduly risky behavior means that no reasonable jury could find that the policy covers his injuries.","Yes, because the man waived his right to rebut the company’s evidence by not addressing the “unduly risky” policy provision in his case-in-chief.",B,"Whether the man’s behavior was unduly risky is a question of fact for the jury to resolve.",civ0028
civ0029,MBE-Civil-Procedure-Sample-Test-Questions,8,0,MBE-Civil-Procedure-Sample-Test-Questions.pdf,Civil Procedure,9,,"A motorcyclist was involved in a collision with a truck. The motorcyclist sued the truck driver in state court for damage to the motorcycle. The jury returned a verdict for the truck driver, and the court entered judgment. The motorcyclist then sued the company that employed the driver and owned the truck in federal court for personal-injury damages, and the company moved to dismiss based on the state-court judgment. If the court grants the company’s motion, what is the likely explanation?","Claim preclusion (res judicata) bars the motorcyclist’s action against the company.","Issue preclusion (collateral estoppel) establishes the company’s lack of negligence.","The motorcyclist violated the doctrine of election of remedies.","The state-court judgment is the law of the case.",A,"Claim preclusion (res judicata) bars relitigation of claims that were or could have been raised in a prior action between the same parties or their privies based on the same cause of action.",civ0029
civ0030,MBE-Civil-Procedure-Sample-Test-Questions,9,0,MBE-Civil-Procedure-Sample-Test-Questions.pdf,Civil Procedure,10,,"A student at a private university sued the university in federal court for negligence after he fell from scaffolding in a university-owned theater building. At trial, after briefing from both parties, the court permitted the jury to hear testimony that there had been several previous accidents in the same building. The jury found for the student, and the university appealed. One of the university’s arguments on appeal is that the testimony about the previous accidents should have been excluded as irrelevant and highly prejudicial. Which standard of review applies to this argument?","Abuse of discretion.","Clearly erroneous.","De novo.","Harmless error.",A,"Evidentiary rulings are reviewed for abuse of discretion.",civ0030
pmbrmbe_0021,pmbrmbe,0021,21,PMBR Early Bird MBE 2007,Torts,21,,"Fred left his keys in his car; the car was stolen and used in a robbery.","(A) Fred is liable because leaving the keys was negligence.","(B) Fred is liable only if the theft was foreseeable.","(C) Fred is not liable unless he gave the keys to the thief.","(D) Fred is not liable.",D,,pmbrmbe_0021
pmbrmbe_0022,pmbrmbe,0022,22,PMBR Early Bird MBE 2007,Torts,22,,"Jill owned a pet snake. She let it loose in her yard and it escaped and bit a neighbor.","(A) Jill is strictly liable.","(B) Jill is liable only if negligent.","(C) Jill is not liable because a snake is not a wild animal.","(D) Jill is not liable if she warned her neighbor.",A,,pmbrmbe_0022
pmbrmbe_0023,pmbrmbe,0023,23,PMBR Early Bird MBE 2007,Torts,23,,"Doctor prescribed medication without warning of possible side effects; patient suffered harm.","(A) Doctor is liable because of failure to warn.","(B) Doctor is not liable unless negligent in prescribing.","(C) Doctor is strictly liable.","(D) Doctor is not liable.",A,,pmbrmbe_0023
pmbrmbe_0024,pmbrmbe,0024,24,PMBR Early Bird MBE 2007,Torts,24,,"Tom trespassed on Phil's land at night and fell into an open pit.","(A) Tom can recover because a landowner must warn of dangers.","(B) Tom cannot recover because he was a trespasser.","(C) Tom can recover only if Phil set a trap.","(D) Tom can recover if Phil's conduct was willful.",B,,pmbrmbe_0024
pmbrmbe_0025,pmbrmbe,0025,25,PMBR Early Bird MBE 2007,Torts,25,,"Ann negligently left a loaded gun where a child found it and shot someone.","(A) Ann is liable because her conduct was negligent.","(B) Ann is not liable unless she intended harm.","(C) Ann is strictly liable.","(D) Ann is not liable because the child was an intervening cause.",A,,pmbrmbe_0025
pmbrmbe_0026,pmbrmbe,0026,26,PMBR Early Bird MBE 2007,Torts,26,,"Linda sued for injuries caused by defective brakes in her new car.","(A) She can recover only from the dealer.","(B) She can recover only from the manufacturer.","(C) She can recover from both dealer and manufacturer.","(D) She cannot recover unless she proves negligence.",C,,pmbrmbe_0026
pmbrmbe_0027,pmbrmbe,0027,27,PMBR Early Bird MBE 2007,Torts,27,,"Harold's dog bit a child; the dog had never bitten before.","(A) Harold is strictly liable.","(B) Harold is liable only if negligent.","(C) Harold is not liable.","(D) Harold is not liable if the child provoked the dog.",A,,pmbrmbe_0027
pmbrmbe_0028,pmbrmbe,0028,28,PMBR Early Bird MBE 2007,Torts,28,,"City failed to repair a broken sidewalk. Mary tripped and was injured.","(A) City is liable.","(B) City is liable only if it had notice.","(C) City is not liable unless it created the defect.","(D) City is not liable because of governmental immunity.",B,,pmbrmbe_0028
pmbrmbe_0029,pmbrmbe,0029,29,PMBR Early Bird MBE 2007,Torts,29,,"Frank accidentally shot Bill while hunting, mistaking him for a deer.","(A) Frank is liable because he intended to shoot.","(B) Frank is liable only if negligent.","(C) Frank is not liable.","(D) Frank is not liable if Bill was not wearing orange.",B,,pmbrmbe_0029
pmbrmbe_0030,pmbrmbe,0030,30,PMBR Early Bird MBE 2007,Torts,30,,"Marta slipped on ice in Sam's store. The ice had been tracked in by customers.","(A) Sam is liable if he failed to remove the ice.","(B) Sam is not liable unless he knew or should have known.","(C) Sam is strictly liable.","(D) Sam is not liable if the ice was open and obvious.",B,,pmbrmbe_0030
idx,dataset,example_id,prompt_id,source,subject,question_number,prompt,question,choice_a,choice_b,choice_c,choice_d,answer,gold_passage,gold_idx
pmbrmbe_0061,pmbrmbe,0061,61,PMBR Early Bird MBE 2007,Torts,61,,"Edgar left a loaded rifle in a closet, child found it and was injured.","(A) Edgar is liable for negligence.","(B) Edgar is strictly liable.","(C) Edgar is not liable unless warned.","(D) Edgar is not liable if the closet was locked.",A,,pmbrmbe_0061
pmbrmbe_0062,pmbrmbe,0062,62,PMBR Early Bird MBE 2007,Torts,62,,"Victoria, a nurse, gave the wrong medicine and patient died.","(A) Victoria is strictly liable.","(B) Victoria is liable for negligence.","(C) Victoria is not liable.","(D) Victoria is not liable if she followed doctor’s order.",B,,pmbrmbe_0062
pmbrmbe_0063,pmbrmbe,0063,63,PMBR Early Bird MBE 2007,Torts,63,,"Allen built a fence that encroached on neighbor's property.","(A) Allen is liable for trespass.","(B) Allen is strictly liable.","(C) Allen is not liable unless intentional.","(D) Allen is not liable if he did not know.",A,,pmbrmbe_0063
pmbrmbe_0064,pmbrmbe,0064,64,PMBR Early Bird MBE 2007,Torts,64,,"Tina slipped and fell in a mall restroom due to a wet floor.","(A) The mall is liable if it failed to warn.","(B) The mall is strictly liable.","(C) The mall is not liable unless negligent.","(D) The mall is not liable if Tina was careless.",A,,pmbrmbe_0064
pmbrmbe_0065,pmbrmbe,0065,65,PMBR Early Bird MBE 2007,Torts,65,,"Ray threw snowballs at cars, one broke a window.","(A) Ray is liable for trespass to chattels.","(B) Ray is liable for battery.","(C) Ray is strictly liable.","(D) Ray is not liable if unintentional.",A,,pmbrmbe_0065
pmbrmbe_0066,pmbrmbe,0066,66,PMBR Early Bird MBE 2007,Torts,66,,"Walter, a store owner, chased a thief, injuring a bystander.","(A) Walter is liable for negligence.","(B) Walter is strictly liable.","(C) Walter is not liable unless use of force was unreasonable.","(D) Walter is not liable if bystander was careless.",A,,pmbrmbe_0066
pmbrmbe_0067,pmbrmbe,0067,67,PMBR Early Bird MBE 2007,Torts,67,,"Henry installed a swimming pool without a fence, neighbor's child drowned.","(A) Henry is strictly liable.","(B) Henry is liable under attractive nuisance doctrine.","(C) Henry is not liable.","(D) Henry is not liable if he warned parents.",B,,pmbrmbe_0067
pmbrmbe_0068,pmbrmbe,0068,68,PMBR Early Bird MBE 2007,Torts,68,,"Janet, a customer, was injured when a shelf collapsed in a store.","(A) Store is liable if shelf was negligently installed.","(B) Store is strictly liable.","(C) Store is not liable unless warned.","(D) Store is not liable if Janet was careless.",A,,pmbrmbe_0068
pmbrmbe_0069,pmbrmbe,0069,69,PMBR Early Bird MBE 2007,Torts,69,,"Oscar was injured in a taxi crash caused by a drunk driver.","(A) Taxi company is strictly liable.","(B) Taxi company is liable if driver acted in scope of employment.","(C) Taxi company is not liable unless negligent in hiring.","(D) Taxi company is not liable if Oscar was not seatbelted.",B,,pmbrmbe_0069
pmbrmbe_0070,pmbrmbe,0070,70,PMBR Early Bird MBE 2007,Torts,70,,"Sandy, a mail carrier, was bitten by a dog while delivering mail.","(A) Owner is strictly liable.","(B) Owner is liable only if dog had vicious propensities.","(C) Owner is not liable to trespassers.","(D) Owner is not liable if Sandy provoked dog.",A,,pmbrmbe_0070
pmbrmbe_0071,pmbrmbe,0071,71,PMBR Early Bird MBE 2007,Torts,71,,"Frank, a passenger, sued driver for injuries from reckless driving.","(A) Frank can recover unless he assumed risk.","(B) Frank is strictly liable.","(C) Frank cannot recover if no seatbelt.","(D) Frank cannot recover if not paying passenger.",A,,pmbrmbe_0071
pmbrmbe_0072,pmbrmbe,0072,72,PMBR Early Bird MBE 2007,Torts,72,,"Lynn, a nurse, was stuck by a used needle improperly discarded by a doctor.","(A) Doctor is strictly liable.","(B) Doctor is liable for negligence.","(C) Doctor is not liable if nurse was careless.","(D) Doctor is not liable unless intentional.",B,,pmbrmbe_0072
pmbrmbe_0073,pmbrmbe,0073,73,PMBR Early Bird MBE 2007,Torts,73,,"Mary’s car struck a cow on the highway, owner knew fence was broken.","(A) Owner is strictly liable.","(B) Owner is not liable unless negligent.","(C) Owner is liable if fence was knowingly broken.","(D) Owner is not liable.",C,,pmbrmbe_0073
pmbrmbe_0074,pmbrmbe,0074,74,PMBR Early Bird MBE 2007,Torts,74,,"Steve punched Bill in a bar fight; Bill sued for damages.","(A) Steve is liable for battery.","(B) Steve is strictly liable.","(C) Steve is not liable if Bill provoked him.","(D) Steve is not liable unless injury was serious.",A,,pmbrmbe_0074
pmbrmbe_0075,pmbrmbe,0075,75,PMBR Early Bird MBE 2007,Torts,75,,"Mona spilled oil on stairs at her apartment, visitor slipped.","(A) Mona is liable for negligence.","(B) Mona is not liable unless warned.","(C) Mona is strictly liable.","(D) Mona is not liable if visitor was careless.",A,,pmbrmbe_0075
pmbrmbe_0076,pmbrmbe,0076,76,PMBR Early Bird MBE 2007,Torts,76,,"Tom’s fireworks startled a horse, causing rider to fall.","(A) Tom is liable if negligent.","(B) Tom is strictly liable.","(C) Tom is not liable if fireworks were legal.","(D) Tom is not liable unless warned.",A,,pmbrmbe_0076
pmbrmbe_0077,pmbrmbe,0077,77,PMBR Early Bird MBE 2007,Torts,77,,"Ed, a truck driver, spilled chemicals polluting river.","(A) Ed is liable under strict liability.","(B) Ed is not liable unless negligent.","(C) Ed is not liable if accident was unforeseeable.","(D) Ed is not liable if chemicals were non-toxic.",A,,pmbrmbe_0077
pmbrmbe_0078,pmbrmbe,0078,78,PMBR Early Bird MBE 2007,Torts,78,,"Joy left her baby unattended in a car, child suffered heatstroke.","(A) Joy is liable for negligence.","(B) Joy is not liable if child was asleep.","(C) Joy is strictly liable.","(D) Joy is not liable if accident was unforeseeable.",A,,pmbrmbe_0078
pmbrmbe_0079,pmbrmbe,0079,79,PMBR Early Bird MBE 2007,Torts,79,,"Pat, a store customer, was assaulted by another customer.","(A) Store is liable if it failed to provide adequate security.","(B) Store is not liable unless warned.","(C) Store is strictly liable.","(D) Store is not liable if assault was unforeseeable.",A,,pmbrmbe_0079
pmbrmbe_0080,pmbrmbe,0080,80,PMBR Early Bird MBE 2007,Torts,80,,"Fred, a landlord, failed to fix broken window, tenant was injured.","(A) Fred is liable if he knew or should have known of the defect.","(B) Fred is strictly liable.","(C) Fred is not liable unless notified.","(D) Fred is not liable if tenant was careless.",A,,pmbrmbe_0080
idx,dataset,example_id,prompt_id,source,subject,question_number,prompt,question,choice_a,choice_b,choice_c,choice_d,answer,gold_passage,gold_idx
pmbrmbe_0081,pmbrmbe,0081,81,PMBR Early Bird MBE 2007,Torts,81,,"Nina sued for emotional distress after witnessing her child’s accident.","(A) Nina can recover for negligent infliction.","(B) Nina can recover only if physically injured.","(C) Nina cannot recover unless she was in the zone of danger.","(D) Nina cannot recover.",C,,pmbrmbe_0081
pmbrmbe_0082,pmbrmbe,0082,82,PMBR Early Bird MBE 2007,Torts,82,,"Tim borrowed a power tool, which injured him due to faulty wiring.","(A) Lender is strictly liable.","(B) Lender is liable only if negligent.","(C) Lender is not liable unless he knew of defect.","(D) Lender is not liable if tool was misused.",C,,pmbrmbe_0082
pmbrmbe_0083,pmbrmbe,0083,83,PMBR Early Bird MBE 2007,Torts,83,,"Elaine, a pedestrian, slipped on a public sidewalk covered in ice.","(A) City is liable for all sidewalk injuries.","(B) City is strictly liable.","(C) City is not liable unless negligent in maintaining sidewalks.","(D) City is not liable if Elaine was careless.",C,,pmbrmbe_0083
pmbrmbe_0084,pmbrmbe,0084,84,PMBR Early Bird MBE 2007,Torts,84,,"Ryan was bitten by a neighbor’s ferret.","(A) Owner is strictly liable.","(B) Owner is liable only if ferret is wild.","(C) Owner is not liable unless negligent.","(D) Owner is not liable if Ryan provoked.",B,,pmbrmbe_0084
pmbrmbe_0085,pmbrmbe,0085,85,PMBR Early Bird MBE 2007,Torts,85,,"Wanda, a spectator, was hit by a thrown baseball bat at a game.","(A) Wanda assumed the risk.","(B) Stadium is strictly liable.","(C) Stadium is liable only if seating was defective.","(D) Stadium is not liable if bat was thrown intentionally.",A,,pmbrmbe_0085
pmbrmbe_0086,pmbrmbe,0086,86,PMBR Early Bird MBE 2007,Torts,86,,"Greg, a store owner, was sued after customer fell on a wet floor.","(A) Greg is liable only if negligent in cleaning.","(B) Greg is strictly liable.","(C) Greg is not liable unless warned.","(D) Greg is not liable if accident was unforeseeable.",A,,pmbrmbe_0086
pmbrmbe_0087,pmbrmbe,0087,87,PMBR Early Bird MBE 2007,Torts,87,,"Allen, a doctor, failed to diagnose cancer in a patient.","(A) Allen is liable for negligence.","(B) Allen is strictly liable.","(C) Allen is not liable unless diagnosis was possible.","(D) Allen is not liable if patient was noncompliant.",A,,pmbrmbe_0087
pmbrmbe_0088,pmbrmbe,0088,88,PMBR Early Bird MBE 2007,Torts,88,,"Rachel’s car was damaged by a tree branch falling in a city park.","(A) City is strictly liable.","(B) City is liable only if negligent.","(C) City is not liable.","(D) City is not liable if accident was unforeseeable.",B,,pmbrmbe_0088
pmbrmbe_0089,pmbrmbe,0089,89,PMBR Early Bird MBE 2007,Torts,89,,"Kevin trespassed and was injured by a hidden trap.","(A) Owner is strictly liable.","(B) Owner is not liable unless conduct was willful.","(C) Owner is not liable to trespassers.","(D) Owner is not liable if trap was not intended for Kevin.",B,,pmbrmbe_0089
pmbrmbe_0090,pmbrmbe,0090,90,PMBR Early Bird MBE 2007,Torts,90,,"Irene, a shopper, sued after slipping on spilled oil in a store.","(A) Irene can recover only if store had notice.","(B) Irene can recover under strict liability.","(C) Store is not liable if spill was recent.","(D) Store is not liable if Irene was careless.",A,,pmbrmbe_0090
pmbrmbe_0091,pmbrmbe,0091,91,PMBR Early Bird MBE 2007,Torts,91,,"Dan fired a gun in the air and the bullet damaged a neighbor’s roof.","(A) Dan is strictly liable.","(B) Dan is liable for negligence.","(C) Dan is not liable unless warned.","(D) Dan is not liable if accidental.",B,,pmbrmbe_0091
pmbrmbe_0092,pmbrmbe,0092,92,PMBR Early Bird MBE 2007,Torts,92,,"Laura, a child, was hurt on a carnival ride lacking proper restraints.","(A) Carnival is strictly liable.","(B) Carnival is liable if it failed to provide safety measures.","(C) Carnival is not liable unless warned.","(D) Carnival is not liable to minors.",B,,pmbrmbe_0092
pmbrmbe_0093,pmbrmbe,0093,93,PMBR Early Bird MBE 2007,Torts,93,,"Steve, a guest, tripped over a loose rug in host’s home.","(A) Host is liable if rug was a hidden danger.","(B) Host is not liable unless warned.","(C) Host is strictly liable.","(D) Host is not liable if guest was careless.",A,,pmbrmbe_0093
pmbrmbe_0094,pmbrmbe,0094,94,PMBR Early Bird MBE 2007,Torts,94,,"Mary sued for emotional distress after receiving a false death notice.","(A) Mary can recover under intentional infliction.","(B) Mary can recover only if physical harm.","(C) Mary cannot recover.","(D) Mary cannot recover unless notice was malicious.",A,,pmbrmbe_0094
pmbrmbe_0095,pmbrmbe,0095,95,PMBR Early Bird MBE 2007,Torts,95,,"Larry, a plumber, left a gas line open, causing explosion.","(A) Larry is strictly liable.","(B) Larry is liable for negligence.","(C) Larry is not liable unless warned.","(D) Larry is not liable if explosion was unforeseeable.",B,,pmbrmbe_0095
pmbrmbe_0096,pmbrmbe,0096,96,PMBR Early Bird MBE 2007,Torts,96,,"Tom was injured by an escalator in a department store.","(A) Store is strictly liable.","(B) Store is liable if escalator was defective or poorly maintained.","(C) Store is not liable unless warned.","(D) Store is not liable if Tom was careless.",B,,pmbrmbe_0096
pmbrmbe_0097,pmbrmbe,0097,97,PMBR Early Bird MBE 2007,Torts,97,,"Jill, a bystander, was hit by debris from a demolition site.","(A) Demolition company is strictly liable.","(B) Demolition company is not liable unless negligent.","(C) Demolition company is not liable if site was fenced.","(D) Demolition company is not liable if Jill ignored warning signs.",A,,pmbrmbe_0097
pmbrmbe_0098,pmbrmbe,0098,98,PMBR Early Bird MBE 2007,Torts,98,,"Pam sued after tripping on cracked sidewalk outside a store.","(A) Store is strictly liable.","(B) Store is not liable unless it owned sidewalk.","(C) Store is liable if it controlled sidewalk.","(D) Store is not liable if Pam was careless.",C,,pmbrmbe_0098
pmbrmbe_0099,pmbrmbe,0099,99,PMBR Early Bird MBE 2007,Torts,99,,"Nick, a repairman, was hurt by a faulty elevator in an office building.","(A) Owner is strictly liable.","(B) Owner is liable only if negligent.","(C) Owner is not liable unless warned.","(D) Owner is not liable if Nick misused elevator.",B,,pmbrmbe_0099
pmbrmbe_0100,pmbrmbe,0100,100,PMBR Early Bird MBE 2007,Torts,100,,"Rachel a hotel guest, was burned by hot water in her shower.","(A) Hotel is strictly liable.","(B) Hotel is liable if it failed to regulate temperature.","(C) Hotel is not liable unless warned.","(D) Hotel is not liable if Rachel was careless.",B,,pmbrmbe_0100
pmbrmbe_0101,pmbrmbe,0101,101,PMBR Early Bird MBE 2007,Contracts,1,,"Paul offered to sell a car to Dan for $5,000. Dan replied, ""I will pay $4,500.""","(A) ""There is a contract at $5,000.""","(B) There is a contract at $4,500.","(C) There is no contract.","(D) Paul must accept $4,500.",C,,pmbrmbe_0101
pmbrmbe_0102,pmbrmbe,0102,102,PMBR Early Bird MBE 2007,Contracts,2,,"Anna mailed an offer to Ben on May 1. Ben mailed his acceptance on May 2, but Anna revoked her offer on May 3 before receiving the acceptance.","(A) There is a contract.","(B) There is no contract.","(C) Anna's revocation is effective.","(D) The offer lapsed.",A,,pmbrmbe_0102
pmbrmbe_0103,pmbrmbe,0103,103,PMBR Early Bird MBE 2007,Contracts,3,,"Lucy offered to sell land to Ricky, who replied, ""I'll take it if you include the furniture.""","(A) Contract is formed.","(B) No contract; Ricky's reply is a counteroffer.","(C) Ricky must buy the land and furniture.","(D) Lucy must sell only the land.",B,,pmbrmbe_0103
pmbrmbe_0104,pmbrmbe,0104,104,PMBR Early Bird MBE 2007,Contracts,4,,"Mike offered to sell a watch to Jim for $100, but revoked before Jim accepted.","(A) Mike is bound to sell.","(B) No contract; revocation was effective.","(C) Jim can enforce the sale.","(D) Mike must wait for Jim's reply.",B,,pmbrmbe_0104
pmbrmbe_0105,pmbrmbe,0105,105,PMBR Early Bird MBE 2007,Contracts,5,,"A signed option contract to buy a house was supported by $10 consideration.","(A) The option is revocable.","(B) The option is irrevocable during the stated period.","(C) The option is void for lack of consideration.","(D) The option is enforceable only by the seller.",B,,pmbrmbe_0105
pmbrmbe_0106,pmbrmbe,0106,106,PMBR Early Bird MBE 2007,Contracts,6,,"Frank agreed to paint Ann's house for $1,000. After finishing, Ann refused to pay.","(A) Frank can recover in quantum meruit.","(B) Frank has no remedy.","(C) Frank can only sue for breach.","(D) Ann can rescind the contract.",A,,pmbrmbe_0106
pmbrmbe_0107,pmbrmbe,0107,107,PMBR Early Bird MBE 2007,Contracts,7,,"Tom promised to give Sally $100 as a gift, then changed his mind.","(A) Sally can enforce the promise.","(B) Sally cannot enforce; no consideration.","(C) Sally can recover as a creditor beneficiary.","(D) Tom is estopped from revoking.",B,,pmbrmbe_0107
pmbrmbe_0108,pmbrmbe,0108,108,PMBR Early Bird MBE 2007,Contracts,8,,"Joe contracted to sell his car to Bob, but the car was destroyed before delivery.","(A) Bob can enforce the contract.","(B) Joe is excused; performance is impossible.","(C) Joe must deliver a substitute.","(D) Joe must refund any deposit.",B,,pmbrmbe_0108
pmbrmbe_0109,pmbrmbe,0109,109,PMBR Early Bird MBE 2007,Contracts,9,,"Sue offered to buy Pam's bicycle if Pam accepted by June 1. Pam accepted on June 2.","(A) Contract is formed.","(B) No contract; acceptance was late.","(C) Pam can enforce the offer.","(D) Sue must renegotiate.",B,,pmbrmbe_0109
pmbrmbe_0110,pmbrmbe,0110,110,PMBR Early Bird MBE 2007,Contracts,10,,"Ed promised to sell land to Alice, but the agreement was not in writing.","(A) Ed can enforce the agreement.","(B) Alice can enforce the agreement.","(C) The contract is unenforceable under the Statute of Frauds.","(D) The contract is void.",C,,pmbrmbe_0110
pmbrmbe_0111,pmbrmbe,0111,111,PMBR Early Bird MBE 2007,Contracts,11,,"Leo, a minor, signed a contract to buy a car.","(A) The contract is void.","(B) The contract is voidable by Leo.","(C) The contract is enforceable.","(D) The contract is voidable by seller.",B,,pmbrmbe_0111
pmbrmbe_0112,pmbrmbe,0112,112,PMBR Early Bird MBE 2007,Contracts,12,,"Sam paid Sue to deliver goods on June 1, but Sue delivered June 10.","(A) Sam must accept late delivery.","(B) Sam may reject the goods.","(C) Sam is liable for breach.","(D) Sue may rescind.",B,,pmbrmbe_0112
pmbrmbe_0113,pmbrmbe,0113,113,PMBR Early Bird MBE 2007,Contracts,13,,"Ned promised to sell a rare coin to Ron, but sold it to Lisa instead.","(A) Ron can recover the coin.","(B) Ron can sue for damages.","(C) Ron can void the sale to Lisa.","(D) Lisa has no rights.",B,,pmbrmbe_0113
pmbrmbe_0114,pmbrmbe,0114,114,PMBR Early Bird MBE 2007,Contracts,14,,"Greg agreed to paint Amy's house, but Amy refused to let him.","(A) Greg can recover full contract price.","(B) Greg can sue for breach.","(C) Greg has no remedy.","(D) Amy is excused from performance.",B,,pmbrmbe_0114
pmbrmbe_0115,pmbrmbe,0115,115,PMBR Early Bird MBE 2007,Contracts,15,,"Pete agreed to sell eggs to Bill at market price; no quantity was stated.","(A) Contract is enforceable.","(B) Contract fails for indefiniteness.","(C) Contract is void.","(D) Contract is enforceable only for one delivery.",B,,pmbrmbe_0115
pmbrmbe_0116,pmbrmbe,0116,116,PMBR Early Bird MBE 2007,Contracts,16,,"Al offered to sell a painting to Sue for $1,000, Sue replied, ""I accept,"" but crossed out $1,000 and wrote $900.","(A) Contract is formed at $5,000.","(B) No contract; counteroffer.","(C) Contract is formed at $900.","(D) Al is bound to accept.",B,,pmbrmbe_0116
pmbrmbe_0117,pmbrmbe,0117,117,PMBR Early Bird MBE 2007,Contracts,17,,"Martha agreed in writing to sell land to Ed, but failed to deliver the deed.","(A) Ed can force Martha to perform.","(B) Ed has no remedy.","(C) Ed can sue only for damages.","(D) Martha can rescind.",A,,pmbrmbe_0117
pmbrmbe_0118,pmbrmbe,0118,118,PMBR Early Bird MBE 2007,Contracts,18,,"Brian made an oral contract to buy goods worth $600.","(A) Contract is enforceable.","(B) Contract is unenforceable under Statute of Frauds.","(C) Contract is valid.","(D) Brian must pay.",B,,pmbrmbe_0118
pmbrmbe_0119,pmbrmbe,0119,119,PMBR Early Bird MBE 2007,Contracts,19,,"Jill offered to sell her car to Amy for $2,000; Amy replied, ""I accept,"" and sent a check for $2,000.","(A) Contract is formed.","(B) No contract; offer lapsed.","(C) Amy can rescind.","(D) Jill must return the check.",A,,pmbrmbe_0119
pmbrmbe_0120,pmbrmbe,0120,120,PMBR Early Bird MBE 2007,Contracts,20,,"Kyle agreed to build a house for Mary by August 1, but finished on August 10.","(A) Mary must accept.","(B) Mary may recover damages.","(C) Mary can rescind.","(D) Kyle has no remedy.",B,,pmbrmbe_0120
pmbrmbe_0121,pmbrmbe,0121,121,PMBR Early Bird MBE 2007,Contracts,21,,"Clara agreed to sell a boat to Tom, but before delivery the boat was stolen.","(A) Clara must deliver a substitute boat.","(B) Tom must accept the loss.","(C) Clara is excused due to impossibility.","(D) Tom can sue for damages.",C,,pmbrmbe_0121
pmbrmbe_0122,pmbrmbe,0122,122,PMBR Early Bird MBE 2007,Contracts,22,,"A lease was signed for one year; the tenant vacated after six months.","(A) The tenant is liable for the full year's rent.","(B) The tenant is liable only for time in possession.","(C) The landlord must mitigate damages.","(D) The landlord may recover for the remainder of the lease.",C,,pmbrmbe_0122
pmbrmbe_0123,pmbrmbe,0123,123,PMBR Early Bird MBE 2007,Contracts,23,,"A builder contracted to construct a house, but the buyer refused to pay for extras.","(A) The builder can recover only for agreed extras.","(B) The builder can recover for extras if ordered by buyer.","(C) The builder cannot recover for extras.","(D) The builder must finish house before suing.",B,,pmbrmbe_0123
pmbrmbe_0124,pmbrmbe,0124,124,PMBR Early Bird MBE 2007,Contracts,24,,"A signed contract for the sale of land omitted the purchase price.","(A) Contract is enforceable.","(B) Contract is void.","(C) Court can supply a reasonable price.","(D) The parties must renegotiate.",C,,pmbrmbe_0124
pmbrmbe_0125,pmbrmbe,0125,125,PMBR Early Bird MBE 2007,Contracts,25,,"Lora agreed to buy Sam's business; Sam misrepresented its profits.","(A) Lora may rescind the contract.","(B) Sam can enforce the contract.","(C) Lora must accept the loss.","(D) Lora can sue only for breach.",A,,pmbrmbe_0125
pmbrmbe_0126,pmbrmbe,0126,126,PMBR Early Bird MBE 2007,Contracts,26,,"A contractor finished early; owner refused to accept work.","(A) Contractor can recover damages.","(B) Contractor must wait until due date.","(C) Owner may rescind.","(D) Owner must pay full price.",A,,pmbrmbe_0126
