idx,dataset,example_id,prompt_id,source,subject,subtopic,question_number,prompt,question,choice_a,choice_b,choice_c,choice_d,answer,gold_passage,gold_idx,explain,explain_a,explain_b,explain_c,explain_d
818,mbe,mbe_0818,prompt_0818,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,20,,"Assume, for purposes of this question (and succeeding questions), that Dan's motion in Question 19 was denied. Dan subsequently served a timely third-party complaint and summons on Dotty while she was visiting her aunt for a day in Banning, California. Dan's third-party complaint stated a claim for contribution among joint-tortfeasors, a state-law tort, alleging that Dotty was 50% at fault. In response, Dotty served on Dan a third-party answer in which she denied any responsibility for the collision and also included a defense of lack of personal jurisdiction. Dotty then moved to dismiss the third-party complaint. Which of the following rul- ings is most nearly correct?","Because the sole basis for subject matter jurisdiction over Dan's third-party claim is diversity jurisdiction, Erie requires that the court apply California's state court ""special appearance"" rule. Applying such rule, Dotty has waived her defense of lack of personal jurisdiction.","The court cannot exercise per- sonal jurisdiction over Dotty, a non-resident of California, be- cause Dan's contribution claim against Dotty arose out of Dot- ty's driving a car in Nevada, not in California.","Dan improperly impleaded Dotty, because it is solely the prerogative of the plaintiff which of the several joint tortfeasors to sue.","Dotty was properly impleaded and is subject to personal juris- diction, because she was served with process in California.",A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
819,mbe,mbe_0819,prompt_0819,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,21,,"Assume, for purposes of this and suc- ceeding questions, that Dotty's motion in Question 20 was denied. Dan subse- quently amended his third-party com- plaint to assert a claim against Dotty for $30,000 worth of property damage to his car caused by Dotty's negligent driving. Dotty moved to dismiss this new claim. Which of the following rul- ings is most nearly correct?","Dan's second claim for property damage is improperly impleaded because it is an independent, and not a contingent, claim.","Dan's second claim for property damage is not supported by di- versity jurisdiction because the amount in controversy is only $30,000. CIVIL PROCEDURE 65 Q","Dan's second claim for property damage is properly joined under F.R.C.P. 18. Further, Dan's two claims together meet the amount in controversy requirement.","Although Dan's second claim for property damage falls below the amount in controversy require- ment, the court can adjudicate the claim because of supplemen- tal jurisdiction.",C,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
820,mbe,mbe_0820,prompt_0820,Flemings's Multistate Examination Workbook - Volume 2,Real Property,,22,,"On August 1, 1991, Pauline amended her complaint to add a personal injury claim for $200,000 directly against Dot- ty. Dotty moved to dismiss this claim on the ground that the court lacked subject matter jurisdiction. Which of the fol- lowing rulings is most nearly correct?","Pauline's claim against Dotty should be dismissed, because at the time Pauline filed her claim against Dan, Pauline, like Dotty, was a Nevada citizen.","Pauline's claim should be dis- missed, because the California court cannot exercise personal jurisdiction over Dotty who is a Nevada citizen.","Pauline's claim is supported by diversity jurisdiction, because at the time Pauline amended her complaint, she had become, once again, a California citizen and Dotty remained a Nevada citizen.","Pauline's claim against Dotty is supported by supplemental jurisdiction, because her claim against Dotty is sufficiently re- lated to her claim against Dan.",D,,,"Estates: Fee simple > Defeasible > Life | Future: Reversion (grantor), Remainder (3rd party) | Recording: Race, Notice, Race-Notice.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
821,mbe,mbe_0821,prompt_0821,Flemings's Multistate Examination Workbook - Volume 2,Real Property,,23,,"Assume, for purposes of this question, that Dotty's motion in Question 22 was granted. Subsequently, Dotty asserted, in the appropriate manner, a negligence claim in the amount of $40,000 directly against Pauline for personal injury arising out of the same auto accident. Pauline moved to dismiss this claim. Which of the following rulings is most nearly correct?","Impleader of the captains is prop- er, because the liability of the captains arises out of the same operative facts as Shrimpboats, Inc.'s refund claim against the U.S. Government.","Impleader of the captains is prop- er, because either Shrimpboats, Inc. or the captains are liable as ""employers"" for the crewmen's employment taxes.","Impleader of the captains is improper, because the U.S. Government's claim against the captains is not a contingent or derivative claim but, rather, an independent claim based upon the captains' liability to the U.S. (under the tax code).","Dotty's claim is supported by diversity jurisdiction, because at the time Dotty asserted this claim, Pauline had become, once again, a California citizen and Dotty remained a Nevada citizen.",B,,,"Estates: Fee simple > Defeasible > Life | Future: Reversion (grantor), Remainder (3rd party) | Recording: Race, Notice, Race-Notice.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
822,mbe,mbe_0822,prompt_0822,Flemings's Multistate Examination Workbook - Volume 2,Torts,,25,,"Pete underwent surgery in which a ""plate and screw"" device was implanted in his lower spine. The surgical proce- dure caused Pete greater discomfort than did his previous condition. The device was manufactured by Medco, Inc. The surgery was performed by Dr. Zorba at St. Nowhere Hospital. Pete brought a state court suit against Dr. Zorba and the hospital for malpractice and negligence. Pete also filed suit in federal district court against Medco, Inc. alleging defective design and manufacture of the device. Medco filed a motion: (1) to require Pete to join the doctor and the hospital as defendants arguing that they are ""necessary par- ties"" under F.R.C.P. 19(a); and (2) if Pete is unable to join the doctor and hospital, the court must dismiss Pete's suit arguing that doctor and hospital are ""indispensable"" parties under F.R.C.P. 19 (b). Which of the following rulings is most nearly correct?","The motion should be denied, because joint tortfeasors are not ""necessary"" or ""indispensable"" parties.","The motion should be granted, because the public's interest in judicial economy will be harmed by multiple lawsuits where one federal suit can resolve the con- troversy. 68 CIVIL PROCEDURE Q 0 0-< CV - C Questions 26 - 34 are based upon the following facts: On June 1, 1992, a Global Airways jetliner, Flight 101, crashed at San Diego airport, seriously injuring most of the 700 passengers on board. On August 1, 1993, Pete, a partner with a large firm specializing in air-disaster litigation, was on","The motion should be granted, because it is prejudicial to the defendants to have the two separate lawsuits being carried on simultaneously. Medco's de- fense will be that the plate was not defective but that the doctor and hospital were negligent. On the other hand, the doctor's and the hospital's defense will be that they were not negligent, but that the plate was defective.","The motion should be denied, be- cause plaintiffs have an absolute right to decide whom to sue.",D,,,"DBCD: Duty, Breach, Causation, Damages | Strict: dangerous activities, wild animals, products | BAFTIC: Battery, Assault, False imprisonment, Trespass, IIED, Conversion.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
823,mbe,mbe_0823,prompt_0823,Flemings's Multistate Examination Workbook - Volume 2,Torts,,26,,"At the class certification hearing on the issue of the adequacy of class represen- tation by Pete, which of the following arguments is most nearly correct?","Class representation by Pete would be adequate, because Pete has extensive experience as an attorney in air-disaster litiga- tion.","Class representation by Pete would be adequate, because Pete's law firm gives the class access to substantial financial and clerical resources.","Class representation by Pete would be inadequate, because he claims only $75,000 in dam- ages.","Class representation would be inadequate, because Pete's serv- ing as class counsel and as class representative would present a conflict of interest.",B,,,"DBCD: Duty, Breach, Causation, Damages | Strict: dangerous activities, wild animals, products | BAFTIC: Battery, Assault, False imprisonment, Trespass, IIED, Conversion.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
824,mbe,mbe_0824,prompt_0824,Flemings's Multistate Examination Workbook - Volume 2,Torts,,27,,"At the certification hearing, the court must categorize Pete's class action as a (b)(1)(A), (b)(1)(B), (b)(2) and/or (b)(3) class action. On this issue, which of the following classifications is most nearly correct?","This is a ""prejudice"" (b)(1)(A) class action because the pros- ecution of individual damage suits by class members could prejudice Global by imposing on Global inconsistent results. Some plaintiffs could win and some could lose.","This is a ""prejudice (b)(1)(B) class action because some class members who are the first to bring their individual suits and who win large damage awards against Global could bankrupt the airline leaving no funds re- maining to pay later judgments in favor of other plaintiffs. CIVIL PROCEDURE 69","This is an ""injunctive"" (b)(2) class action because Global has acted on grounds generally ap- plicable to the class. It flew all class members as passengers on the same plane, thereby making appropriate declaratory relief with respect to the class as a whole.","This is a ""damage"" (b)(3) class action because all members of the class claim to have been injured by Global in a similar way.",B,,,"DBCD: Duty, Breach, Causation, Damages | Strict: dangerous activities, wild animals, products | BAFTIC: Battery, Assault, False imprisonment, Trespass, IIED, Conversion.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
825,mbe,mbe_0825,prompt_0825,Flemings's Multistate Examination Workbook - Volume 2,Torts,,28,,"Assume, for purposes of this and suc- ceeding questions, that the court grant- ed class certification. Global served on Pete, as class representative, a set of interrogatories. One asked: ""State the factual basis for your contention in paragraph 3 of the class action com- plaint that Global's pilot of Flight 101 flew the plane in a negligent manner."" Pete objected to this interrogatory and Global moved to compel an answer. Which of the following is the most cor- rect ruling on Global's motion?",This interrogatory is allowed by F.R.C.P. 33.,"This interrogatory requires the attorney for the class to evalu- ate facts in light of his legal knowledge and, therefore, is objectionable as calling for that attorney's mental impres- sions which are protected under F.R.C.P. 26(b)(3).",This interrogatory is objection- able because it is overbroad.,"This interrogatory calls for the opinion of experts in air disas- ters who have been employed by the class to prepare the case in anticipation of litigation and, therefore, calls for informa- tion protected under F.R.C.P. 26(b)(4).",A,,,"DBCD: Duty, Breach, Causation, Damages | Strict: dangerous activities, wild animals, products | BAFTIC: Battery, Assault, False imprisonment, Trespass, IIED, Conversion.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
826,mbe,mbe_0826,prompt_0826,Flemings's Multistate Examination Workbook - Volume 2,Torts,,29,,"To which of the following information is Pete not entitled under the mandatory (""required"") disclosure rules?",Any liability insurance policy held by Global for inspection and copying.,The identity of any trial ex- perts.,The identity of each individual likely to have discoverable in- formation relevant to issues alleged with particularity in the pleadings.,The identity of each trial wit- ness. 70 CIVIL PROCEDURE Q 0<- c,A,,,"DBCD: Duty, Breach, Causation, Damages | Strict: dangerous activities, wild animals, products | BAFTIC: Battery, Assault, False imprisonment, Trespass, IIED, Conversion.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
827,mbe,mbe_0827,prompt_0827,Flemings's Multistate Examination Workbook - Volume 2,Evidence,,30,,"Pete examined the captain of the plane by oral deposition. In response to a question asking whether he had been drinking prior to take-off, the captain replied: ""Yes."" Pete wants to know what use he can make of this portion of the captain's deposition transcript at trial. Which of the following answers is most nearly correct?",The deposition is inadmissible for any purpose under the hear- say rule.,The deposition is admissible only to impeach the captain in the instance that he testifies that he had nothing to drink prior to take-off.,The deposition is admissible to help prove plaintiffs' case of negligence as well as to impeach the captain in the instance that he testifies that he had nothing to drink prior to take-off.,The deposition is admissible to conclusively establish that the captain had been drinking prior to take-off thereby removing that issue from the case and prevent- ing the captain from testifying to the contrary.,D,,,"Hearsay = TOMA | MIMIC for prior bad acts: Motive, Intent, Mistake, Identity, Common plan | Exceptions: present sense, excited utterance, state of mind.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
828,mbe,mbe_0828,prompt_0828,Flemings's Multistate Examination Workbook - Volume 2,Evidence,,31,,"Immediately after Flight 101 crashed, Global asked Prof, a professor of aero- nautical engineering who lived near San Diego Airport, to investigate the wreck- age. Global sent Prof to the crash site for the purpose of determining whether he would make a good trial witness. Prof spent two hours investigating the wreckage and wrote a five-page report concluding that pilot error was the sole cause of the crash. Prof was paid an agreed honorarium of $200 and was never contacted by Global again. Pete, as class representative, demands a copy of Prof's report to Global through the appropriate method. Global objects and Pete moves to compel production of the report. Which of the following rulings on Pete's motion is most nearly correct?","The report should be produced, only if Pete can show a substan- tial need for it and an inability to get the substantial equivalent of the report's contents without undue hardship.","The report should be produced, because its contents are relevant to the subject matter and it was not prepared in anticipation of litigation.","The report should be produced, only if Pete can show excep- tional circumstances. CIVIL PROCEDURE 71 LLI ce w 00 ce","The report should not be pro- duced under any circumstances, because Prof is an informally consulted expert.",D,,,"Hearsay = TOMA | MIMIC for prior bad acts: Motive, Intent, Mistake, Identity, Common plan | Exceptions: present sense, excited utterance, state of mind.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
829,mbe,mbe_0829,prompt_0829,Flemings's Multistate Examination Workbook - Volume 2,Evidence,,32,,"Pete served a notice of deposition on Mack, an employee of Global who works in Global's Accident Preven- tion Department. Mack has a degree in mechanical engineering and was the person who first examined the wreck- age of Flight 101 immediately after the crash to determine the cause of the crash as part of his accident prevention duties. Two months later, Mack was assigned to Global's legal team as an expert whose duties were to re-examine the wreckage to assist Global's attorneys in the preparation of Global's defense to Pete's lawsuit. Mack will not testify for Global at trial. Global moved for a protective order that Mack's deposition not take place. Global argued that Mack is a non-testifying expert who Global specially employed in preparation for trial and, therefore, Pete needs to make a showing of ""exceptional circumstanc- es"" under which it is impracticable for Pete to obtain Mack's facts and opinions by other means. Pete responds that he wants to question Mack solely about the facts acquired by Mack during his initial examination of the wreckage immediately after the crash. Which of the following rulings is most nearly correct?","Global's motion should be grant- ed, but only if Pete can show substantial need for Mack's de- position and that Pete is unable without undue hardship to obtain the substantial equivalent of the information known to Mack by other means.","Global's motion should be de- nied, because Mack is an or- dinary percipient witness with respect to the facts sought to be discovered by Pete on deposi- tion.","Global's motion should be de- nied, but only if Pete can show exceptional circumstances for deposing Mack.","Global's motion should be grant- ed, because the facts Pete seeks to discover on Mack's deposition are irrelevant to the subject mat- ter of the lawsuit.",B,,,"Hearsay = TOMA | MIMIC for prior bad acts: Motive, Intent, Mistake, Identity, Common plan | Exceptions: present sense, excited utterance, state of mind.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
830,mbe,mbe_0830,prompt_0830,Flemings's Multistate Examination Workbook - Volume 2,Evidence,,33,,"Whit, a mechanic employed by the San Diego Airport, witnessed the crash of Flight 101. Knowing that Global would likely be facing a lawsuit by the injured passengers, Whit sent Global's lawyers a signed note recounting what he had observed. Pete seeks to discover this note and Global objects. On a motion by Pete to compel production of the note, which of the following rulings is most nearly correct? 72 CIVIL PROCEDURE Q -CP 0 0-<- C","The note is discoverable, because it is relevant to the subject mat- ter.","The note is not discoverable, because Whit's status as an ex- pert mechanic protects the note, under F.R.C.P. 26(b)(4).","The note is not discoverable, because it is a written witness statement that is protected as ordinary work product.","The note is not discoverable, because it is protected under the attorney-client privilege.",D,,,"Hearsay = TOMA | MIMIC for prior bad acts: Motive, Intent, Mistake, Identity, Common plan | Exceptions: present sense, excited utterance, state of mind.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
831,mbe,mbe_0831,prompt_0831,Flemings's Multistate Examination Workbook - Volume 2,Evidence,,34,,"The class action went to trial and the plaintiff class won. Judgment was en- tered for the class. Opie had previously opted-out of the class action. However, in response to the class action notice that he had received from Pete, Opie brought a personal injury suit against Global in California superior court for damages arising out of the air crash. After judgment had been entered for the class in the federal class action suit, Opie moved for partial summary judgment requesting the court to order that, based upon the federal class action judgment, it is conclusively established in Opie's suit that Global was liable in negligence to Opie (leaving only dam- ages to be determined). Which of the following statements is not correct?","If the case law of the Federal Court of Appeals for the Ninth Circuit clearly forbids plaintiffs who opt out of a class actions from using collateral estoppel offensively but California state case law does allow such plain- tiffs to use collateral estoppel offensively, the California court could not grant Opie's motion.",The Due Process Clause forbids Opie from invoking collateral es- toppel against Global in reliance upon the class action judgment.,"If the California state court determined that Opie had been motivated to opt-out in order to ""wait and see"" whether the class action turned out to be success- ful, the court would likely deny Opie's motion.","If the federal courts still applied a strict mutuality of estoppel rule, the California court could not grant Opie's motion.",C,,,"Hearsay = TOMA | MIMIC for prior bad acts: Motive, Intent, Mistake, Identity, Common plan | Exceptions: present sense, excited utterance, state of mind.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
832,mbe,mbe_0832,prompt_0832,Flemings's Multistate Examination Workbook - Volume 2,Evidence,,35,,"A bill is pending before Congress to deter sexual harassment in the work- place. You clerk for a U.S. Senator and an issue has arisen whether juries or judges should determine fact issues in trials involving lawsuits brought under the new Act. Which of the following versions of the statute will violate the Seventh Amendment? CIVIL PROCEDURE 73 Q I. The statute creates a new private right of action for sexual harassment, allows both injunctive relief and damages, and provides that all issues of fact will be tried by a judge without regard to the remedy sought. II. The statute creates a new private right of action for sexual harassment, allows both injunctive relief and damages, and provides that all ques- tions of fact shall be tried by a jury without regard to the remedy demanded. III. The statute creates a new private right of action for sexual harassment, allows both injunctive relief and damages, and is silent on the issue of who shall be the trier of fact, judge or jury. IV. The statute creates a com- prehensive federal regu- latory program intended to stop sexual harass- ment in the workplace and permits the federal government to bring suit against violators before the federal Sexual Ha- rassment Agency seek- ing the imposition of fines. All actions brought under the statute shall be tried before the fed- eral Sexual Harassment Agency.",I only.,II only.,"1- Questions 36 - 43 are based upon the following facts. On April 1, 1992, Hack, an unsuccessful and unknown composer of popular songs, brought a copyright infringement suit in federal court against the world-famous composer, Cole Sporter. Hack alleged that many of Sporter's most famous songs - Be- gin the Levine, My Heart Belongs to Laddie and DeLightful DeLorian - were copied by Sporter from Hack's tunes.","II, III and IV only. 74 CIVIL PROCEDURE -v 0 o - m < C7-",C,,,"Hearsay = TOMA | MIMIC for prior bad acts: Motive, Intent, Mistake, Identity, Common plan | Exceptions: present sense, excited utterance, state of mind.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
833,mbe,mbe_0833,prompt_0833,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,37,,"Assume, for purposes of this and suc- ceeding questions, that the court set aside the default judgment and that Sporter served an answer to the com- plaint denying the operative allegations of the complaint. Shortly thereafter, Hack filed a notice of dismissal and Sporter moved to quash and vacate the notice of dismissal. Which of the following statements is most nearly correct?","The motion should be denied, be- cause Sporter had not yet moved for summary judgment.","The motion should be granted, because Sporter had previously answered the complaint.","The default judgment should not be set aside, because Hack prop- erly sought the default judgment before the judge rather than the clerk. CIVIL PROCEDURE 75 Q","The motion should be granted, because plaintiffs never have an absolute right to voluntarily dismiss their own actions.",D,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
834,mbe,mbe_0834,prompt_0834,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,37,,Sporter moved for summary judg- ment. He attached to his moving papers the sheet music of Sporter's songs that he allegedly copied and Hack's songs from which Sporter allegedly copied. Hack responded by submitting his complaint. The court believes that Hack's songs and Sporter's songs are so dissimilar that they do not indicate copying by Sporter. Which of the fol- lowing rulings is most nearly correct?,"The motion should be granted, because the songs are so dis- similar that the court does not believe they indicate copying by Sporter.","The motion should be denied, because Sporter did not meet his movant's burden.","The motion should be granted, because Hack did not meet his respondent's burden.","The motion should be granted, because the absence of affidavits or deposition testimony means there are no credibility issues to resolve.",D,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
835,mbe,mbe_0835,prompt_0835,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,39,,"Assume, for purposes of this and succeeding questions, that the court denied Sporter's motion for summary judgment. The court held a pre-trial conference. The pre-trial order that resulted from the conference specified copyright infringement under the Fed- eral Copyright Act as Hack's only cause of action. On the third day of trial, Hack wanted to amend the pre-trial order to add certain state common law claims. Which of the following statements is most nearly correct?",Hack has a right to amend the pre-trial order to add another related cause of action.,Hack may amend the pre-trial order provided he can show exceptional circumstances for doing so.,"Leave of court to allow plaintiffs to amend the pre-trial order shall, as a matter of policy, be freely granted.",Leave of court to amend the pre- trial order shall be granted only to prevent manifest injustice. 76 CIVIL PROCEDURE -D 0 0 o - m <- c,A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
836,mbe,mbe_0836,prompt_0836,Flemings's Multistate Examination Workbook - Volume 2,Evidence,,40,,"Assume, for purposes of this and suc- ceeding questions, that the court did not approve amendment of the pleadings to add state common law claims. The case went to trial. An essential element of Hack's infringement case is to show that Sporter had access to Hack's songs. Hack's sole evidence on this element was Hack's own testimony that Sporter broke into his house on the night of June 15, 1989 and took pictures of Hack's musical manuscripts with a special ""spy"" camera. In rebuttal, Sporter testi- fied that he was 1000 miles away from Hack's home on the night of June 15, 1989. In addition, four disinterested witnesses each testified for Sporter that they had heard from someone with per- sonal knowledge that Sporter had been 1,000 miles away from Hack's house on the night in question. At the close of all the evidence, Sporter moved for a judgment as a matter of law. Which of the following rulings is most nearly correct?","The court should grant the mo- tion, because Sporter's case, consisting of corroborated and disinterested testimony, over- whelms Hack's weak case on the issue of access.","The court should deny the mo- tion, because Sporter did not make the motion before the close of Hack's case.","The court should grant the mo- tion, because Hack's testimony is not credible as a matter of law.","The court should deny the mo- tion, because the jury should have the opportunity to deter- mine the credibility of Hack's testimony.",B,,,"Hearsay = TOMA | MIMIC for prior bad acts: Motive, Intent, Mistake, Identity, Common plan | Exceptions: present sense, excited utterance, state of mind.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
837,mbe,mbe_0837,prompt_0837,Flemings's Multistate Examination Workbook - Volume 2,Evidence,,41,,"Assume, for purposes of this and suc- ceeding questions, that the court denied Sporter's motion in Question 40. The jury rendered a verdict in favor of Sporter. Hack moved for a new trial. Hack submitted the affidavits of three jurors each stating: (1) that each had observed that Hack had shifted uncom- fortably in his seat at plaintiff's counsel table throughout the trial; and (2) that Hack looked scared— which caused each of the three jurors to believe that Hack was lying on the stand. Which of the following rulings is most nearly correct?","The motion should be denied, because, under F.R.E. 606(b), no juror may testify to the effect of anything upon his or any other juror's mind.","The motion should be granted, because what the jurors observed in the courtroom amounted to ex- traneous prejudicial information improperly brought to the jury's attention. CIVIL PROCEDURE 77 Q LLI LLI00 ce o_","The motion should be denied, be- cause the jurors' three affidavits contained no evidence of jury misconduct.","The motion should be denied, because even if the jurors had engaged in jury misconduct, that misconduct could not be deemed prejudicial.",C,,,"Hearsay = TOMA | MIMIC for prior bad acts: Motive, Intent, Mistake, Identity, Common plan | Exceptions: present sense, excited utterance, state of mind.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
838,mbe,mbe_0838,prompt_0838,Flemings's Multistate Examination Workbook - Volume 2,Evidence,,43,,"On Hack's appeal, referred to in Ques- tion 42, Sporter, as appellee, asked the Court of Appeals to reverse the district court's denial of Sporter's request for attorney's fees. Which of the following rulings by the Court of Appeals is most nearly correct?","The error is not reviewable, because Sporter is only an ap- pellee.","The error is reviewable, because Sporter had previously raised the error in the district court.","The objection is reviewable, because if the testimony was hearsay, it could have prejudiced the verdict. 78 CIVIL PROCEDURE Questions 44 - 47 are based upon the following facts: Pat, a Californian, Dan, a Nevadan, and Dave, an Arizonan, were involved in a three-way collision. On January 1, 1990, Pat sued Dan and Dave for negligence demand- ing $55,000 in property damage to her car. Dan and Dave each denied the allegations in Pat's complaint and Dan and Dave each asserted Pat's contributory negli","The error is not reviewable, be- cause it is harmless error.",D,,,"Hearsay = TOMA | MIMIC for prior bad acts: Motive, Intent, Mistake, Identity, Common plan | Exceptions: present sense, excited utterance, state of mind.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
839,mbe,mbe_0839,prompt_0839,Flemings's Multistate Examination Workbook - Volume 2,Real Property,,44,,"After a trial, the jury rendered a gen- eral verdict for Dan and Dave on Pat's claims, and a general verdict for Dan on Dan's cross-claim against Dave. Judgment was then entered on each of these verdicts on June 1, 1990. Dan then brought a negligence suit against Pat for personal injury claiming $5,000 in damages. Pat's answer asserted Dan's contributory negligence against Pat as an affirmative defense to Dan's claim. Pat moved for summary judgment to dismiss Dan's claim relying on the June 1, 1990 judgment in Pat v. Dan and Dave. Under the traditional common law, which of the following rulings is correct?","If Pat v. Dan and Dave had been brought in a state court following the traditional common law ap- proach to counterclaims, but Dan v. Pat had been brought in fed- eral court, Pat's summary judg- ment motion should be granted because Dan's claim arises out of the same transaction or oc- currence as Pat's claim against Dan.","If Pat v. Dan and Dave had been brought in a state court fol- lowing the traditional common law approach to counterclaims, Pat's summary judgment mo- tion should be granted because Dan's claim arises out of the same transaction or occurrence as Pat's claim against Dan.","If Pat v. Dan and Dave had been brought in a state court fol- lowing the traditional common law approach to counterclaims, Pat's summary judgment motion should be granted because Dan's claim arises out of the same set of operative facts as Dan's con- tributory negligence affirmative defense in Pat v. Dan.","If Pat v. Dan and Dave had been brought in a state court fol- lowing the traditional common law approach to counterclaims, Pat's summary judgment motion should be denied. CIVIL PROCEDURE 79 ce —> w 0",C,,,"Estates: Fee simple > Defeasible > Life | Future: Reversion (grantor), Remainder (3rd party) | Recording: Race, Notice, Race-Notice.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
840,mbe,mbe_0840,prompt_0840,Flemings's Multistate Examination Workbook - Volume 2,Civil Procedure,,44,,"Dan moved for partial summary judgment on Pat's affirmative defense. He requested that the court find conclu- sively that Dan was not contributorily negligent based upon the June 1, 1990 judgment in Pat v. Dan and Dave. Which of the following rulings is most nearly correct?","Dan's motion should be denied because the general verdict for Dan against Pat, on Pat's claim against Dan, prevents Dan from proving that the jury actually determined that Dan was not negligent.",Dan's motion should be granted because the jury in Pat v. Dan and Dave actually and necessar- ily determined that Dan was not negligent.,Dan's motion should be denied because the jury's findings of fact in Pat v. Dan and Dave are unreliable. Their verdicts for Dave against Pat (on Pat's claim) and for Dan against Dave (on Dan's cross-claim) are hope- lessly irreconcilable.,Dan's motion should be denied because Pat did not have a full and fair opportunity to litigate the issue of Dan's negligence.,C,,,"SMJ: Federal question, Diversity | PJ: Minimum contacts | Erie: state substantive, federal procedural.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
841,mbe,mbe_0841,prompt_0841,Flemings's Multistate Examination Workbook - Volume 2,Civil Procedure,,46,,"Assume that Pat v. Dan and Dave had been brought in federal district court (properly invoking diversity jurisdic- tion). Dan sued Dave in state court for personal injury claiming $60,000 in damages. Assume the res judicata law followed by the jurisdiction in which the state court sits (in Dan v. Dave) applies the ""primary rights"" definition of ""cause of action."" Dave moved for summary judgment to dismiss Dan's claim in reliance on the June 1, 1990 judgment in Pat v. Dan and Dave. Which of the following rulings is most nearly correct?","Dave's motion should be granted, because Dan violated the cross- claim rule of F.R.C.P. 13(g) by failing to join his personal injury claim against Dan with his prop- erty damage claim.","Dave's motion should be granted, because Dan's claim for personal injury is part of the same cause of action as Dan's cross-claim against Dave for property dam- age.","Dave's motion should be denied, because there are no compulsory cross-claims in federal court.","Dave's motion should be de- nied, because Dan sued Dave in state court, which follows the ""primary rights"" definition of ""cause of action"" for res judicata purposes. 80 CIVIL PROCEDURE",D,,,"SMJ: Federal question, Diversity | PJ: Minimum contacts | Erie: state substantive, federal procedural.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
